team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
2019 Los Angeles Lakers,241.2,90.5,0.47,31.0,0.333,59.6,0.541,23.3,0.699,10.2,36.4,25.6,7.5,5.4,15.7,20.7,111.8,26.2,37.0,45.0,-1.72,0.39,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,0.554,0.527,13.4,22.2,0.18,0.516,12.2,76.4,0.192,0,0,0,0,-1
2019 San Antonio Spurs,241.5,88.4,0.478,25.3,0.392,63.1,0.513,21.0,0.819,9.2,35.5,24.5,6.1,4.7,12.1,18.1,111.7,28.8,48.0,34.0,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11.0,21.0,0.194,0.528,11.0,79.4,0.17,0,0,0,0,0
2019 Utah Jazz,240.9,86.4,0.468,34.0,0.356,52.4,0.541,25.5,0.736,10.0,36.4,26.0,8.1,5.9,15.1,21.1,111.7,27.3,50.0,32.0,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,0,1,0,0,0
2019 Denver Nuggets,240.6,90.0,0.466,31.4,0.351,58.7,0.527,20.9,0.755,11.9,34.5,27.4,7.7,4.4,13.4,20.0,110.7,24.9,54.0,28.0,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.232,0.348,0.558,0.527,11.9,26.6,0.175,0.521,12.3,78.0,0.194,0,0,0,0,1
2019 Charlotte Hornets,241.8,89.8,0.448,33.9,0.351,55.8,0.507,23.1,0.797,9.9,33.9,23.2,7.2,4.9,12.2,18.9,110.7,26.6,39.0,43.0,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,0,0,0,0,-1
2019 Dallas Mavericks,241.2,86.9,0.447,36.6,0.34,50.2,0.524,25.3,0.742,10.1,35.2,23.4,6.5,4.3,14.2,20.1,108.9,26.9,33.0,49.0,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,0,0,0,0,-1
2019 Indiana Pacers,240.3,87.0,0.475,25.4,0.374,61.6,0.517,21.1,0.752,9.3,33.7,26.0,8.7,4.9,13.7,19.4,108.0,27.0,48.0,34.0,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,0.516,14.1,76.2,0.184,0,0,0,0,0
2019 Phoenix Suns,242.4,87.4,0.459,29.3,0.329,58.1,0.525,22.7,0.779,9.1,31.3,23.9,9.0,5.1,15.6,23.6,107.5,24.0,19.0,63.0,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,0,0,0,0,-1
2019 Orlando Magic,241.2,89.1,0.454,32.1,0.356,57.0,0.509,19.2,0.782,10.0,35.4,25.5,6.6,5.4,13.2,18.6,107.3,25.7,42.0,40.0,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.216,0.36,0.55,0.518,11.9,22.0,0.168,0.515,11.8,79.7,0.186,0,0,0,0,0
2019 Detroit Pistons,242.1,88.3,0.44,34.8,0.348,53.5,0.5,23.1,0.747,11.4,33.6,22.5,6.9,4.0,13.8,22.1,107.0,26.9,41.0,41.0,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.262,0.394,0.544,0.509,12.3,24.8,0.195,0.526,12.8,78.7,0.211,0,0,0,0,0
2019 Miami Heat,240.6,88.0,0.45,32.4,0.349,55.6,0.509,21.7,0.695,11.2,35.1,24.3,7.6,5.5,14.7,20.9,105.7,27.0,39.0,43.0,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,0.542,0.515,13.1,24.8,0.172,0.51,12.7,77.6,0.201,0,0,0,0,-1
2019 Chicago Bulls,242.7,87.9,0.453,25.9,0.351,62.0,0.496,20.7,0.783,8.8,34.1,21.9,7.4,4.3,14.1,20.3,104.9,24.0,22.0,60.0,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,0,0,0,0,-1
2019 New York Knicks,241.2,88.3,0.433,29.5,0.34,58.8,0.479,23.9,0.759,10.5,34.3,20.1,6.8,5.1,14.0,20.9,104.6,23.4,17.0,65.0,-9.21,0.28,-8.93,104.5,113.7,-9.2,99.6,0.27,0.334,0.529,0.49,12.4,22.1,0.205,0.533,11.7,76.1,0.203,0,0,0,0,-1
2019 Cleveland Cavaliers,240.9,87.6,0.444,29.1,0.355,58.5,0.488,20.7,0.792,10.7,31.9,20.7,6.5,2.4,13.5,20.0,104.5,25.2,19.0,63.0,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.181,0,0,0,0,-1
2019 Memphis Grizzlies,242.4,84.4,0.45,28.9,0.342,55.6,0.505,23.0,0.772,8.8,33.0,23.9,8.3,5.5,14.0,22.0,103.5,27.7,33.0,49.0,-2.6,0.51,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,0.548,0.508,12.9,20.0,0.21,0.521,13.9,77.6,0.232,0,0,0,0,-1
2020 Milwaukee Bucks,241.0,90.9,0.476,38.9,0.355,52.0,0.567,24.7,0.742,9.5,42.2,25.9,7.2,5.9,15.1,19.6,118.7,29.2,56.0,17.0,10.08,-0.67,9.41,112.4,102.9,9.5,105.1,0.271,0.428,0.583,0.552,12.9,20.7,0.201,0.489,12.0,81.6,0.178,1,1,0,0,1
2020 Houston Rockets,241.4,90.4,0.451,45.3,0.345,45.2,0.557,26.1,0.791,9.8,34.5,21.6,8.7,5.2,14.7,21.8,117.8,29.2,44.0,28.0,2.96,0.17,3.13,112.9,110.1,2.8,103.7,0.288,0.501,0.578,0.537,12.6,21.0,0.228,0.529,13.7,75.6,0.197,0,0,0,0,1
2020 Dallas Mavericks,242.3,90.3,0.461,41.3,0.367,49.0,0.541,23.8,0.779,10.5,36.4,24.7,6.1,4.8,12.7,19.5,117.0,26.1,43.0,32.0,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,0,0,0,0,0
2020 Los Angeles Clippers,241.4,89.2,0.466,33.5,0.371,55.8,0.522,26.3,0.791,10.7,37.0,23.7,7.1,4.7,14.6,22.1,116.3,27.4,49.0,23.0,6.44,0.21,6.66,113.9,107.6,6.3,101.5,0.295,0.375,0.577,0.535,12.6,23.5,0.233,0.506,12.2,77.6,0.206,0,0,0,0,1
2020 New Orleans Pelicans,242.1,91.6,0.465,36.9,0.37,54.8,0.528,23.4,0.729,11.1,35.4,26.8,7.5,5.0,16.4,21.2,115.8,25.4,30.0,42.0,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,0.256,0.403,0.568,0.539,13.9,24.2,0.186,0.532,12.4,77.8,0.212,0,0,0,0,-1
2020 Portland Trail Blazers,241.0,91.2,0.463,34.1,0.377,57.1,0.514,22.1,0.804,10.2,35.1,20.6,6.3,6.1,12.8,21.7,115.0,27.5,35.0,39.0,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,0,0,0,0,0
2020 Washington Wizards,241.0,90.9,0.457,32.6,0.368,58.3,0.506,24.6,0.788,10.2,31.9,25.0,8.0,4.3,14.2,22.7,114.4,25.1,25.0,47.0,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,0,0,0,0,-1
2020 San Antonio Spurs,242.5,89.4,0.472,28.5,0.376,61.0,0.516,23.4,0.81,9.0,35.6,24.7,7.3,5.5,12.6,19.4,114.1,27.6,32.0,39.0,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,0,0,0,0,-1
2020 Boston Celtics,242.1,89.6,0.461,34.5,0.364,55.0,0.522,23.2,0.801,10.7,35.4,23.0,8.3,5.6,13.8,21.6,113.7,25.3,48.0,24.0,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,0,0,0,0,2
2020 Phoenix Suns,241.0,88.1,0.468,31.8,0.358,56.3,0.529,23.8,0.834,9.8,33.8,27.2,7.7,4.0,14.8,22.0,113.6,24.6,34.0,39.0,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,0.532,13.0,22.2,0.226,0.539,13.7,78.8,0.221,0,0,0,0,-1
2020 Los Angeles Lakers,240.7,88.3,0.48,31.6,0.349,56.7,0.552,24.3,0.729,10.7,35.1,25.4,8.6,6.6,15.2,20.7,113.4,29.5,52.0,19.0,5.79,0.49,6.28,112.0,106.3,5.7,100.9,0.276,0.358,0.573,0.542,13.3,24.5,0.201,0.515,14.1,78.8,0.205,0,0,0,0,4
2020 Minnesota Timberwolves,243.1,91.6,0.441,39.7,0.336,52.0,0.521,25.4,0.753,10.5,34.3,23.8,8.7,5.7,15.3,21.4,113.3,24.8,19.0,45.0,-4.3,0.28,-4.02,108.1,112.2,-4.1,103.4,0.277,0.433,0.551,0.514,13.0,22.1,0.209,0.541,13.2,77.2,0.218,0,0,0,0,-1
2020 Toronto Raptors,241.4,87.9,0.458,37.0,0.374,50.9,0.519,23.2,0.796,9.5,35.9,25.2,8.8,5.0,14.8,21.7,112.8,26.6,53.0,19.0,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,0,0,0,1,1
2020 Memphis Grizzlies,240.7,90.9,0.468,31.5,0.347,59.4,0.532,21.8,0.763,10.3,36.2,26.9,7.9,5.5,15.2,21.2,112.6,24.1,34.0,39.0,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,0.24,0.346,0.561,0.528,13.2,23.0,0.183,0.521,12.7,77.8,0.217,0,0,0,0,-1
2020 Miami Heat,243.1,84.4,0.468,35.4,0.379,49.0,0.532,25.2,0.783,8.5,35.9,25.9,7.5,4.5,14.9,20.6,112.0,25.9,44.0,29.0,2.95,-0.35,2.59,112.5,109.5,3.0,98.3,0.299,0.419,0.587,0.547,13.5,20.3,0.234,0.523,12.6,79.5,0.213,0,0,0,0,3
2020 Atlanta Hawks,243.0,90.6,0.449,36.1,0.333,54.5,0.525,23.4,0.79,9.9,33.4,24.0,7.8,5.1,16.2,23.1,111.8,24.1,20.0,47.0,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,0,0,0,0,-1
2020 Brooklyn Nets,242.8,90.3,0.448,38.1,0.343,52.1,0.524,24.1,0.745,10.6,37.3,24.5,6.4,4.5,15.3,21.0,111.8,26.3,35.0,37.0,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,0,0,0,0,0
2020 Denver Nuggets,243.1,88.9,0.473,30.6,0.359,58.3,0.533,20.9,0.777,10.8,33.4,26.7,8.0,4.6,13.8,20.3,111.3,25.6,46.0,27.0,2.11,0.24,2.35,113.1,111.0,2.1,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,0,0,0,0,2
2020 Utah Jazz,241.0,85.1,0.471,35.2,0.38,49.9,0.535,22.8,0.779,9.1,35.8,22.4,6.1,4.1,15.1,20.4,111.3,27.3,44.0,28.0,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,0,0,0,0,0
2020 Philadelphia 76ers,241.0,87.9,0.468,31.6,0.368,56.3,0.524,22.4,0.755,10.5,35.0,25.8,8.0,5.3,14.2,20.9,110.7,26.3,43.0,30.0,2.38,-0.13,2.25,111.3,109.0,2.3,99.0,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,0,0,0,0,0
2020 Oklahoma City Thunder,242.1,85.5,0.468,30.2,0.355,55.3,0.529,24.8,0.796,8.2,34.7,21.7,7.6,4.9,13.7,19.3,110.4,25.5,44.0,28.0,1.99,0.34,2.33,110.8,108.8,2.0,98.8,0.29,0.353,0.573,0.53,12.4,19.3,0.231,0.518,12.6,76.8,0.173,0,0,0,0,0
2020 Sacramento Kings,242.4,88.4,0.462,34.9,0.364,53.5,0.527,20.3,0.77,9.7,32.9,23.8,7.7,4.1,14.5,22.2,110.1,27.0,31.0,41.0,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,0.23,0.395,0.566,0.534,13.0,21.9,0.177,0.543,13.6,78.4,0.225,0,0,0,0,-1
2020 Indiana Pacers,241.4,88.5,0.476,28.0,0.363,60.4,0.529,19.1,0.787,8.7,34.1,25.9,7.4,5.2,13.2,19.8,109.4,25.6,45.0,28.0,1.96,-0.33,1.63,110.0,108.0,2.0,98.9,0.216,0.317,0.565,0.534,12.0,20.0,0.17,0.511,13.0,76.7,0.192,0,0,0,0,0
2020 Orlando Magic,240.7,88.6,0.444,32.2,0.343,56.4,0.502,22.7,0.774,10.3,34.2,23.9,8.2,5.4,12.8,18.3,107.3,26.1,33.0,40.0,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,0.256,0.364,0.544,0.506,11.5,22.3,0.198,0.535,13.2,79.1,0.176,0,0,0,0,0
2020 Detroit Pistons,241.9,85.7,0.459,32.7,0.367,53.0,0.515,22.4,0.743,9.8,32.0,24.1,7.4,4.5,15.3,19.7,107.2,25.9,20.0,46.0,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,0,0,0,0,-1
2020 Cleveland Cavaliers,241.9,87.9,0.458,31.8,0.351,56.1,0.519,19.9,0.758,10.8,33.4,23.1,6.9,3.2,16.5,18.3,106.9,25.0,19.0,46.0,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,0,0,0,0,-1
2020 Chicago Bulls,241.2,88.6,0.447,35.1,0.348,53.5,0.511,20.5,0.755,10.5,31.4,23.2,10.0,4.1,15.5,21.8,106.8,24.4,22.0,43.0,-3.08,-0.93,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,0,0,0,0,-1
2020 Golden State Warriors,241.9,88.2,0.438,31.3,0.334,56.9,0.495,23.2,0.803,10.0,32.9,25.6,8.2,4.6,14.9,20.1,106.3,24.4,15.0,50.0,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,0,0,0,0,-1
2020 New York Knicks,241.9,89.3,0.447,28.4,0.337,61.0,0.499,23.5,0.694,12.0,34.5,22.1,7.6,4.7,14.3,22.2,105.8,24.5,21.0,45.0,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,0.263,0.318,0.531,0.501,12.6,25.8,0.182,0.541,12.4,78.3,0.224,0,0,0,0,-1
2020 Charlotte Hornets,242.3,85.9,0.434,34.3,0.352,51.6,0.489,21.6,0.748,11.0,31.8,23.8,6.6,4.1,14.6,18.8,102.9,24.3,23.0,42.0,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,0,0,0,0,-1
2021 Milwaukee Bucks,240.7,91.8,0.487,37.1,0.389,54.7,0.554,21.4,0.76,10.3,37.8,25.5,8.1,4.6,13.8,17.3,120.1,28.1,46.0,26.0,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.404,0.593,0.566,12.0,23.3,0.177,0.536,11.5,79.7,0.157,0,0,0,0,4
2021 Brooklyn Nets,241.7,87.3,0.494,36.1,0.392,51.2,0.565,22.5,0.804,8.9,35.5,26.8,6.7,5.3,13.5,19.0,118.6,28.2,48.0,24.0,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,0,0,0,0,1
2021 Washington Wizards,241.7,90.9,0.475,29.0,0.351,61.9,0.533,26.2,0.769,9.7,35.5,25.5,7.3,4.1,14.4,21.6,116.6,26.6,34.0,38.0,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,0,0,0,0,0
2021 Utah Jazz,241.0,88.1,0.468,43.0,0.389,45.1,0.544,21.5,0.799,10.6,37.6,23.7,6.6,5.2,14.2,18.5,116.4,28.5,52.0,20.0,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,0,1,1,0,1
2021 Portland Trail Blazers,240.3,91.1,0.453,40.8,0.385,50.3,0.509,21.6,0.823,10.6,33.9,21.3,6.9,5.0,11.1,18.9,116.1,27.4,42.0,30.0,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23.0,0.195,0.546,11.2,77.5,0.203,0,0,0,0,0
2021 Phoenix Suns,242.8,88.3,0.49,34.6,0.378,53.7,0.563,18.7,0.834,8.8,34.2,26.9,7.2,4.3,12.5,19.1,115.3,26.6,51.0,21.0,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,0,0,0,0,3
2021 Indiana Pacers,242.4,91.2,0.474,34.0,0.364,57.3,0.54,20.7,0.792,9.0,33.7,27.4,8.5,6.4,13.5,20.2,115.3,26.5,34.0,38.0,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,0,0,0,0,-1
2021 Denver Nuggets,242.8,89.2,0.485,34.2,0.377,55.0,0.552,19.5,0.803,10.5,33.9,26.8,8.1,4.5,13.5,19.1,115.1,26.1,47.0,25.0,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,1,0,0,0,1
2021 New Orleans Pelicans,242.1,89.1,0.477,30.4,0.348,58.6,0.544,26.1,0.729,11.7,35.7,26.0,7.6,4.4,14.6,18.0,114.6,24.8,31.0,41.0,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80.0,0.186,0,0,0,0,-1
2021 Los Angeles Clippers,240.0,86.7,0.482,34.7,0.411,52.0,0.529,19.3,0.839,9.4,34.7,24.4,7.1,4.1,13.2,19.2,114.0,28.8,47.0,25.0,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,0,0,0,0,2
2021 Atlanta Hawks,241.7,87.2,0.468,33.4,0.373,53.9,0.526,24.2,0.812,10.6,35.1,24.1,7.0,4.8,13.2,19.3,113.7,25.4,41.0,31.0,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,0,0,0,0,2
2021 Sacramento Kings,240.3,88.6,0.481,33.3,0.364,55.3,0.551,22.0,0.745,9.4,32.0,25.5,7.5,5.0,13.4,19.4,113.7,25.6,31.0,41.0,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,0,0,0,0,-1
2021 Golden State Warriors,240.3,88.2,0.468,38.7,0.376,49.4,0.541,21.1,0.785,8.0,35.1,27.7,8.2,4.8,15.0,21.2,113.7,26.7,39.0,33.0,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,0,0,0,0,-1
2021 Philadelphia 76ers,242.1,86.9,0.476,30.1,0.374,56.8,0.531,25.5,0.767,10.0,35.0,23.7,9.1,6.2,14.4,20.2,113.6,27.1,49.0,23.0,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,0,0,0,0,1
2021 Memphis Grizzlies,241.7,91.8,0.467,31.4,0.356,60.4,0.525,21.3,0.771,11.2,35.3,26.9,9.1,5.1,13.3,18.7,113.3,24.2,38.0,34.0,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,0,0,0,0,0
2021 Boston Celtics,241.4,88.9,0.466,36.4,0.374,52.5,0.53,20.8,0.775,10.6,33.6,23.5,7.7,5.3,14.1,20.4,112.6,25.1,36.0,36.0,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,0,0,0,0,0
2021 Dallas Mavericks,240.3,87.3,0.47,38.1,0.362,49.2,0.554,21.2,0.778,9.1,34.2,22.9,6.3,4.3,12.1,19.4,112.4,26.3,42.0,30.0,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,0,0,0,0,0
2021 Minnesota Timberwolves,241.7,90.9,0.448,37.6,0.349,53.3,0.518,23.1,0.761,10.5,33.0,25.6,8.8,5.5,14.3,20.9,112.1,23.2,23.0,49.0,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,0,0,0,0,-1
2021 Toronto Raptors,240.3,88.7,0.448,39.3,0.368,49.3,0.512,21.3,0.815,9.4,32.1,24.1,8.6,5.4,13.2,21.2,111.3,26.6,27.0,45.0,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,0,0,0,0,-1
2021 San Antonio Spurs,242.8,90.5,0.462,28.4,0.35,62.1,0.514,22.0,0.792,9.3,34.6,24.4,7.0,5.1,11.4,18.0,111.1,26.2,33.0,39.0,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,0,0,0,0,-1
2021 Chicago Bulls,241.4,88.6,0.476,34.0,0.37,54.6,0.542,17.5,0.791,9.6,35.3,26.8,6.7,4.2,15.1,18.9,110.7,25.6,31.0,41.0,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,0,0,0,0,-1
2021 Los Angeles Lakers,242.4,86.1,0.472,31.2,0.354,54.8,0.539,23.3,0.739,9.7,34.6,24.7,7.8,5.4,15.2,19.1,109.5,28.2,42.0,30.0,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,0,0,0,0,0
2021 Charlotte Hornets,241.0,87.8,0.455,37.0,0.369,50.8,0.517,20.9,0.761,10.6,33.2,26.8,7.8,4.8,14.8,18.0,109.5,24.6,33.0,39.0,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,0,0,0,0,-1
2021 Houston Rockets,240.3,88.5,0.444,40.6,0.339,47.9,0.532,22.3,0.74,9.3,33.3,23.6,7.6,5.0,14.7,19.5,108.8,26.5,17.0,55.0,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,0,0,0,0,-1
2021 Miami Heat,241.4,83.7,0.468,36.2,0.358,47.5,0.553,21.1,0.79,8.0,33.5,26.3,7.9,4.0,14.1,18.9,108.1,27.4,40.0,32.0,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,0,0,0,0,0
2021 New York Knicks,242.1,86.5,0.456,30.0,0.392,56.4,0.49,20.9,0.784,9.7,35.5,21.4,7.0,5.1,12.9,20.5,107.0,25.6,41.0,31.0,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,0,0,0,1,0
2021 Detroit Pistons,242.1,85.6,0.452,32.9,0.351,52.7,0.515,23.4,0.759,9.6,33.1,24.2,7.4,5.2,14.9,20.5,106.6,24.5,20.0,52.0,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,0,0,0,0,-1
2021 Oklahoma City Thunder,241.0,88.0,0.441,35.1,0.339,52.9,0.509,21.3,0.725,9.9,35.7,22.1,7.0,4.4,16.1,18.1,105.0,22.8,22.0,50.0,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,0,0,0,0,-1
2021 Orlando Magic,240.7,89.2,0.429,31.8,0.343,57.4,0.476,21.4,0.775,10.4,35.1,21.8,6.9,4.4,12.8,17.2,104.0,25.6,21.0,51.0,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,0,0,0,0,-1
2021 Cleveland Cavaliers,242.1,85.8,0.45,29.7,0.336,56.0,0.51,22.4,0.743,10.4,32.3,23.8,7.8,4.5,15.5,18.2,103.8,24.0,22.0,50.0,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,0,0,0,0,-1
2022 Minnesota Timberwolves,241.2,91.0,0.457,41.3,0.358,49.7,0.54,23.1,0.778,11.2,32.9,25.7,8.8,5.6,14.3,21.8,115.9,24.2,46.0,36.0,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,0,0,0,0,0
2022 Memphis Grizzlies,241.2,94.4,0.461,32.7,0.353,61.7,0.519,23.1,0.734,14.1,35.0,26.0,9.8,6.5,13.2,19.8,115.6,24.0,56.0,26.0,5.68,-0.32,5.37,114.6,109.0,5.6,100.3,0.245,0.346,0.553,0.522,11.2,30.0,0.18,0.523,13.3,77.8,0.195,0,0,0,0,1
