team,MP,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense_eFG%,Offense_TOV%,Offense_ORB%,Offense_FT/FGA,Defense_eFG%,Defense_TOV%,Defense_ORB%,Defense_FT/FGA,MVP,DPOY,sixth,COY,rounds
2010 Philadelphia 76ers,241.5,81.8,0.46,16.8,0.343,64.9,0.491,22.0,0.756,11.5,29.5,21.0,8.1,5.4,14.5,20.5,97.7,25.4,27.0,55.0,-3.9,-0.03,-3.93,106.1,110.3,-4.2,91.6,0.27,0.206,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,0,0,0,0,-1
2010 Chicago Bulls,242.7,83.2,0.451,13.0,0.33,70.2,0.474,23.9,0.754,11.4,33.1,20.8,6.5,5.8,14.3,20.1,97.5,26.2,41.0,41.0,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,0,0,0,0,0
2010 Miami Heat,242.4,79.5,0.458,17.4,0.346,62.1,0.489,23.5,0.752,10.7,31.1,18.9,7.4,5.6,13.2,20.9,96.5,27.1,47.0,35.0,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.296,0.219,0.537,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.246,0,0,0,0,0
2010 Washington Wizards,241.8,81.7,0.449,14.9,0.353,66.8,0.471,23.1,0.762,11.8,30.0,19.0,6.0,5.1,14.9,21.4,96.2,27.6,26.0,56.0,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,0.283,0.183,0.524,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,0,0,0,0,-1
2010 Los Angeles Clippers,240.3,80.5,0.455,17.8,0.332,62.7,0.49,22.8,0.73,11.3,30.5,22.1,6.5,5.7,15.7,19.3,95.7,27.3,29.0,53.0,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.283,0.221,0.529,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,0,0,0,0,-1
2010 Charlotte Bobcats,242.4,76.9,0.453,16.2,0.346,60.7,0.482,26.6,0.751,10.5,30.4,20.2,7.7,5.4,15.7,19.5,95.3,27.4,44.0,38.0,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.346,0.211,0.538,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,0,0,0,0,0
2010 Detroit Pistons,241.2,80.5,0.445,14.5,0.314,66.0,0.474,24.4,0.728,12.8,27.3,19.4,7.3,3.8,13.4,22.2,94.0,26.7,27.0,55.0,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0,0,0,-1
2010 New Jersey Nets,241.2,79.9,0.429,14.5,0.318,65.5,0.454,24.6,0.78,10.9,28.8,18.8,7.0,4.8,14.4,20.0,92.4,24.8,12.0,70.0,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,0.307,0.181,0.509,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0,0,0,-1
2011 Denver Nuggets,240.3,80.6,0.476,20.8,0.388,59.9,0.506,29.6,0.765,9.6,32.3,22.1,7.4,4.3,14.1,21.0,107.5,27.3,50.0,32.0,4.76,0.05,4.81,112.3,107.3,5.0,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,0,0,0,0,0
2011 New York Knicks,241.2,83.7,0.457,25.4,0.368,58.4,0.496,25.5,0.809,10.3,30.1,21.4,7.6,5.8,13.7,21.3,106.5,25.3,42.0,40.0,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,0,0,0,0,0
